Target_librispeech_v1,Ensemble_an4_v1,Ensemble_ted_v1
54,35,45
52,31,34
52,31,34
52,29,36
51,31,25
51,30,26
51,32,25
52,28,23
49,30,19
53,25,22
51,29,23
52,25,17
52,23,20
49,25,20
51,25,14
49,25,14
51,25,17
50,23,7
51,26,14
50,22,11
47,24,8
52,22,11
50,21,10
50,21,10
51,19,14
49,20,10
51,20,8
51,21,9
50,23,6
51,22,4
52,26,7
48,23,3
51,20,5
49,18,3
52,18,2
50,17,7
48,15,7
51,15,4
46,13,6
48,17,9
49,12,3
48,16,5
49,14,2
49,17,1
49,14,1
49,12,4
48,14,4
50,14,4
51,13,6
48,16,2
50,11,4
47,17,6
50,12,1
51,17,2
49,12,1
50,14,3
49,11,0
52,16,1
54,14,1
51,15,0
51,14,0
51,14,0
51,13,0
54,13,0
50,12,0
51,11,3
54,11,3
54,12,2
49,12,4
51,11,2
52,10,3
52,12,3
54,8,3
52,13,3
50,9,1
51,12,2
52,8,0
51,12,4
53,8,2
52,12,3
52,8,7
53,10,3
52,10,4
52,10,1
50,9,1
49,9,1
51,10,0
48,11,2
47,8,0
51,11,1
48,8,3
51,8,2
47,9,0
47,13,5
49,9,0
48,10,1
46,8,0
49,11,0
49,9,0
48,10,0
48,10,0
50,9,0
49,8,0
53,11,0
51,8,0
52,10,0
51,8,0
52,9,0
51,7,0
52,8,0
51,7,0
53,8,1
54,6,3
53,6,1
53,7,5
51,5,3
52,5,6
52,5,5
54,5,4
56,6,0
53,7,4
54,5,0
54,8,2
54,7,0
54,6,0
49,7,1
52,6,1
54,6,1
49,6,1
53,6,0
52,5,1
54,7,6
53,4,4
53,5,10
53,5,2
51,7,11
54,4,4
56,6,5
53,4,9
54,4,3
54,4,3
50,6,2
50,4,0
53,7,0
51,6,0
52,8,0
52,5,0
51,9,0
49,5,0
49,11,0
49,5,0
50,10,0
50,5,0
49,10,0
51,8,0
50,8,0
49,6,0
51,6,0
47,7,0
50,7,0
46,6,0
50,6,0
49,8,0
50,7,0
51,6,0
51,7,0
50,6,0
52,7,0
51,5,0
53,5,0
51,5,0
52,5,0
49,5,2
52,4,9
49,4,12
47,4,5
53,4,3
50,3,7
48,3,2
51,4,4
48,3,3
47,3,0
45,4,0
49,5,1
49,4,0
50,6,1
49,5,1
50,4,0
48,5,0
50,5,0
49,5,0
49,5,0
49,4,0
46,5,0
48,5,0
47,5,0
49,5,0
49,4,0
50,4,0
51,2,0
51,3,0
51,4,0
49,3,0
53,6,0
50,3,0
53,6,0
49,3,0
53,4,0
51,4,0
53,3,0
53,3,1
54,2,1
52,2,2
51,2,7
48,2,0
50,2,3
51,2,1
48,2,2
51,2,0
50,2,1
49,2,3
45,3,0
47,3,0
46,3,1
49,3,0
47,5,0
49,3,0
49,4,0
47,2,0
50,6,0
46,2,0
47,3,0
47,2,0
47,3,0
46,3,0
48,2,0
48,2,0
49,3,0
47,2,0
47,4,0
47,3,0
49,3,0
46,2,0
48,1,0
46,2,0
47,1,0
50,2,0
46,1,0
47,2,0
47,2,0
