Target_an4_v1,Ensemble_librispeech_v1,Ensemble_ted_v1
27,43,33
27,41,27
27,39,26
28,33,27
26,33,24
27,28,25
27,30,22
27,35,22
27,23,21
27,30,20
27,29,20
27,26,18
27,24,18
27,23,14
27,22,19
27,20,16
27,23,15
27,26,21
27,21,18
27,23,18
27,20,17
27,18,17
27,17,17
27,22,13
27,13,11
27,16,11
27,15,13
28,22,12
27,15,11
27,17,11
28,13,10
27,17,11
28,18,8
27,15,13
28,15,12
28,12,13
27,15,13
28,14,11
28,15,7
27,14,9
28,15,7
27,15,9
28,9,7
28,14,10
27,17,14
29,16,8
27,12,6
28,11,5
27,10,6
28,8,11
27,8,12
28,7,9
28,8,14
28,6,7
29,6,6
27,11,6
29,12,4
28,12,3
28,7,6
29,5,8
28,11,7
28,6,7
28,7,8
29,7,5
29,11,4
28,12,3
29,5,4
30,7,10
29,3,7
28,3,7
30,13,5
29,8,4
29,9,5
29,6,4
29,7,4
28,4,3
28,7,2
29,5,6
29,4,8
28,3,13
28,2,12
29,2,6
28,5,3
30,4,2
30,3,5
31,11,2
29,8,2
31,9,1
31,6,1
30,8,1
31,5,1
31,6,1
29,3,2
30,2,2
29,2,6
31,6,7
29,1,3
29,1,7
27,1,11
27,0,7
27,2,6
30,1,5
28,1,3
29,4,1
31,9,1
29,4,0
30,5,0
30,4,0
29,6,0
28,4,0
30,6,0
30,5,1
27,5,0
29,3,1
28,1,3
29,4,5
30,3,3
28,4,1
28,9,1
29,9,0
30,6,2
28,4,0
28,1,0
29,2,1
28,2,3
27,0,1
29,0,8
28,0,8
27,0,9
28,0,9
28,0,4
30,0,7
28,0,2
29,0,7
27,0,4
29,0,3
27,0,5
27,0,7
28,2,4
28,7,1
28,4,1
29,5,0
28,4,0
27,5,0
28,12,0
29,3,0
29,5,0
29,6,0
28,3,0
29,4,0
28,3,0
30,2,0
30,5,0
29,2,0
30,6,0
29,0,0
29,2,2
28,1,0
28,6,0
29,1,0
29,7,0
29,6,0
30,1,0
28,5,0
27,6,1
28,1,0
28,1,0
27,4,0
28,2,0
27,3,0
27,0,0
28,6,0
28,1,0
27,3,1
28,1,0
27,1,0
28,7,0
29,0,1
28,0,7
28,0,3
27,2,2
28,2,4
28,1,5
27,0,9
28,2,3
27,0,3
27,0,4
27,0,2
28,0,1
27,0,1
28,0,3
29,1,2
29,2,1
28,5,0
28,1,0
28,5,0
28,1,0
29,4,0
28,2,0
29,2,0
29,3,0
29,8,0
28,1,0
28,1,0
29,0,0
29,5,2
29,7,0
29,5,0
29,1,1
29,1,2
29,6,1
29,3,0
28,0,0
27,1,0
28,3,0
28,5,1
29,3,0
28,3,0
28,0,0
27,2,0
27,2,0
27,1,0
28,1,0
28,10,0
28,2,0
28,2,0
27,1,0
27,7,0
28,0,0
28,4,0
30,0,0
28,0,1
28,0,10
28,0,6
28,0,5
28,0,3
28,0,3
28,0,1
28,0,1
28,0,2
27,0,2
27,0,6
27,0,7
27,0,3
27,0,7
27,0,1
27,0,2
27,0,1
28,0,0
27,0,0
