Target_librispeech_v2,Ensemble_an4_v2,Ensemble_ted_v2
53,32,43
51,34,48
54,37,39
56,33,39
54,34,36
52,33,35
55,31,31
52,28,29
54,30,32
56,29,30
55,26,38
55,29,26
58,28,27
52,28,27
48,27,25
54,29,27
61,26,26
56,27,24
60,26,19
56,27,17
55,29,18
53,27,14
54,25,19
55,27,13
51,25,14
50,22,14
52,25,24
54,23,12
50,26,12
52,24,11
53,25,10
55,22,4
51,28,8
49,22,10
52,21,12
55,20,12
54,19,6
52,21,6
53,22,12
50,22,10
54,23,13
51,20,4
49,22,10
51,18,15
54,18,9
52,20,9
47,19,8
50,20,8
50,20,2
54,24,3
51,23,2
54,20,4
46,21,3
50,21,7
50,21,5
51,18,10
55,16,7
52,17,6
53,21,4
51,19,5
54,20,0
52,22,5
50,19,5
52,17,14
53,13,4
52,18,7
49,16,6
50,19,8
52,16,12
50,16,8
51,17,5
48,20,7
49,19,2
52,22,3
54,15,1
51,20,4
52,16,2
47,18,4
48,16,4
48,18,2
50,17,3
46,19,2
51,17,2
47,19,3
55,15,2
49,18,0
49,21,0
48,18,0
49,18,0
51,14,0
45,22,1
51,15,1
51,13,1
48,12,5
53,13,11
50,11,3
50,14,10
49,14,3
46,14,1
46,11,1
48,12,8
47,9,4
49,15,5
47,9,5
48,11,5
51,9,5
48,8,6
47,10,1
41,16,5
47,9,0
48,15,1
50,17,0
51,18,0
52,15,0
47,12,0
45,14,1
49,13,4
52,9,3
52,7,7
48,8,2
53,13,2
54,9,1
52,12,0
59,17,0
54,9,0
57,14,1
50,12,1
53,16,2
52,10,4
45,9,5
51,8,6
44,7,3
46,8,1
50,12,1
47,10,2
49,9,6
48,6,3
46,9,5
47,8,1
47,15,3
43,10,2
48,11,2
47,11,1
44,8,0
46,15,0
47,10,0
45,15,1
45,10,1
51,11,2
50,7,1
47,11,2
48,8,0
46,12,1
49,11,0
45,10,1
49,7,0
48,11,2
45,11,3
51,9,1
47,10,3
51,8,1
53,8,2
51,7,2
47,8,1
49,9,5
48,8,5
52,5,4
41,6,11
45,4,5
42,6,2
44,8,0
44,18,2
45,9,3
41,9,3
45,11,2
45,7,1
49,6,3
48,8,3
43,8,6
46,7,2
50,10,3
45,8,0
44,12,0
41,10,0
44,10,0
45,12,0
48,14,0
44,15,0
52,10,0
48,12,0
50,12,0
49,12,0
51,10,0
48,6,0
52,10,0
48,10,0
50,10,0
45,10,0
47,9,0
45,7,3
50,5,3
48,5,5
51,3,1
47,5,6
44,3,4
47,3,4
43,5,5
47,3,3
47,6,2
47,6,0
47,11,0
47,10,0
51,11,0
50,11,0
50,9,0
49,7,0
44,11,0
45,6,0
42,11,0
45,8,0
46,6,0
47,8,0
47,6,0
48,7,0
45,6,0
46,7,0
49,6,0
47,5,0
48,7,0
48,5,0
51,5,0
48,6,0
48,7,0
51,7,0
51,3,0
46,6,0
45,3,0
48,5,0
48,5,0
49,7,0
46,4,0
44,6,0
49,5,0
47,4,0
44,5,0
47,5,0
49,2,0
44,7,0
42,4,0
46,4,3
