Target_ted_v2,Ensemble_an4_v2,Ensemble_librispeech_v2
35,32,38
34,34,37
38,32,37
40,31,40
39,32,41
40,32,39
39,30,40
38,29,36
42,29,35
43,30,36
42,30,35
43,26,28
38,25,29
38,26,31
41,25,32
41,26,33
36,26,29
40,25,35
37,25,37
42,24,39
36,26,34
38,23,34
39,25,31
37,22,36
37,26,30
35,28,31
35,22,27
36,25,28
36,21,25
39,22,27
36,24,24
33,26,27
38,24,24
38,21,24
37,22,23
38,26,27
35,23,26
40,23,17
34,20,30
39,16,26
38,21,26
37,17,22
37,23,24
36,21,25
37,19,19
36,20,24
36,21,26
34,20,17
35,26,18
35,20,14
38,24,20
36,17,22
35,19,18
38,14,23
38,17,20
36,16,18
39,18,17
40,18,22
38,19,21
38,18,23
39,17,17
38,16,25
38,13,17
40,15,15
38,14,20
39,17,15
39,19,18
38,15,17
39,20,14
40,19,15
37,14,16
36,20,22
38,18,21
44,22,13
40,25,8
40,16,13
41,13,12
37,12,19
38,13,14
40,13,21
37,13,18
37,12,13
38,13,17
38,16,15
41,20,16
37,18,12
39,18,9
38,25,13
39,14,10
39,21,8
39,18,10
37,17,8
37,17,10
36,13,13
36,17,14
39,14,16
39,12,10
41,14,13
41,12,11
38,16,12
36,12,14
37,13,10
39,15,9
37,12,14
37,17,11
36,13,9
38,16,5
41,19,12
41,19,7
39,13,7
35,18,11
38,10,8
39,14,7
40,16,8
39,22,9
35,12,13
38,13,6
36,16,6
36,10,17
38,11,16
36,10,15
40,11,13
38,11,8
40,11,13
38,9,11
38,12,17
40,9,14
37,11,14
34,11,12
40,11,14
38,12,9
36,16,5
36,17,7
39,16,7
35,12,8
36,14,3
40,17,6
38,12,5
36,13,4
37,12,5
40,15,5
39,12,6
40,18,5
38,11,8
45,13,6
38,14,6
42,16,4
39,12,6
37,13,8
38,7,9
39,5,9
37,6,6
35,9,4
36,9,9
36,6,5
39,10,4
38,15,4
34,13,2
35,14,13
38,9,7
39,9,9
40,9,7
39,7,6
37,11,8
36,8,7
35,12,6
40,9,3
39,13,5
44,8,10
37,8,9
37,11,15
36,5,7
39,11,3
37,16,7
42,11,4
38,14,4
40,12,3
37,12,7
41,11,5
39,9,5
39,7,11
40,5,7
38,6,9
38,8,0
36,16,5
38,8,2
35,11,5
38,10,7
37,5,9
39,6,8
42,5,7
39,6,6
41,6,6
36,8,8
36,9,9
35,5,14
36,5,10
35,8,3
34,12,4
35,14,1
35,13,2
34,11,5
30,13,3
37,8,11
33,7,8
35,7,4
34,10,4
38,12,3
38,16,4
37,12,1
35,13,2
38,14,0
38,14,1
38,12,2
38,13,1
39,11,2
38,8,3
34,10,8
40,8,2
36,8,9
34,5,7
38,4,8
37,4,3
36,7,4
39,6,2
33,11,5
36,8,3
32,9,8
33,4,7
34,5,8
36,5,6
35,5,4
32,10,3
35,10,1
39,11,2
37,10,2
35,11,2
35,10,7
34,11,5
37,5,2
36,4,1
34,9,9
38,5,6
37,7,4
37,9,10
39,6,1
36,10,13
37,7,12
40,5,12
36,5,8
